#,Team,Conference,Primary,Secondary,Primary vs Secondary,Note
1,Air Force,MWC,#003595,#B2B4B2,0.499,
2,Akron,MAC,#041E43,#C6B784,0.578,
3,Alabama,SEC,#B30839,#FFFFFF,0.737,
4,App St.,Sun Belt,#000000,#FECD00,0.739,
5,Arizona,Big 12,#192957,#C12033,0.390,
6,Arizona State,Big 12,#8C1D41,#FFC628,0.466,
7,Arkansas,SEC,#A32137,#FFFFFF,0.708,
8,Arkansas State,Sun Belt,#CE0E2D,#231F20,0.390,
9,Army,American,#2C2A29,#D3BC8D,0.551,
10,Auburn,SEC,#0D223F,#F04B24,0.526,
11,Ball State,MAC,#BA0C30,#000000,0.436,
12,Baylor,Big 12,#154735,#FFBC1D,0.595,
13,Boise State,Pac-12,#19468D,#F04B24,0.542,
14,Boston College,ACC,#8C2333,#DBCCA6,0.496,
15,Bowling Green,MAC,#FD5000,#4F2C1D,0.408,
16,Buffalo,MAC,#006EB9,#FFFFFF,0.683,
17,BYU,Big 12,#0F4B91,#FFFFFF,0.723,
18,C. Carolina,Sun Belt,#007078,#8F6D4F,0.337,
19,C. Michigan,MAC,#6A0033,#FFC82F,0.565,
20,California,ACC,#091F40,#FFC52F,0.673,
21,Charlotte,American,#005740,#A99767,0.419,
22,Cincinnati,Big 12,#231F20,#D0202E,0.393,
23,Clemson,ACC,#F56600,#FFFFFF,0.674,
24,Colorado,Big 12,#231F20,#C5B783,0.551,
25,Colorado State,Pac-12,#1E4D2C,#C8C372,0.495,
26,Delaware,CUSA,#005289,#FED103,0.711,
27,Duke,ACC,#1F3D7B,#FFFFFF,0.734,
28,E. Michigan,MAC,#006937,#FFFFFF,0.809,
29,East Carolina,American,#592D8B,#FFC211,0.576,
30,FIU,CUSA,#091F40,#B5862D,0.456,
31,FLA Atlantic,American,#0F2D52,#C12033,0.410,
32,Florida,SEC,#1F3D7B,#F04B24,0.514,
33,Florida State,ACC,#7B303F,#D0B787,0.396,
34,Fresno State,Pac-12,#C8102E,#13294B,0.419,
35,Ga Southern,Sun Belt,#011E41,#FFFFFF,0.881,
36,Georgia,SEC,#BA0C2F,#000000,0.435,
37,Georgia State,Sun Belt,#0033A1,#FFFFFF,0.769,
38,Georgia Tech,ACC,#003057,#B4A269,0.484,
39,Hawai'i,MWC,#124734,#000000,0.203,
40,Houston,Big 12,#C8102E,#FFFFFF,0.730,
41,Illinois,Big Ten,#12284C,#E64B38,0.489,
42,Indiana,Big Ten,#A91D36,#FFFFFF,0.712,
43,Iowa,Big Ten,#252525,#FFCD00,0.629,
44,Iowa State,Big 12,#AA182C,#FFC629,0.439,
45,James Madison,Sun Belt,#330072,#B3A369,0.470,
46,Jax State,CUSA,#CE0E2D,#231F20,0.390,
47,Kansas,Big 12,#0E4C90,#CE202F,0.497,
48,Kansas State,Big 12,#330457,#ACB4B1,0.525,
49,Kennesaw St.,CUSA,#252525,#FDBB30,0.596,
50,Kent State,MAC,#003976,#EBAB21,0.622,
51,Kentucky,SEC,#1A468D,#FFFFFF,0.715,
52,Liberty,CUSA,#011E41,#A71930,0.378,
53,Louisiana,Sun Belt,#C80342,#FFFFFF,0.724,
54,Louisiana Tech,Sun Belt,#1F3D7B,#CE202F,0.437,
55,Louisville,ACC,#C10230,#000000,0.450,
56,LSU,SEC,#592D82,#FFC52F,0.543,
57,Marshall,Sun Belt,#00A94F,#231F20,0.339,
58,Maryland,Big Ten,#E31937,#FFD200,0.442,
59,Memphis,American,#004990,#9D9FA2,0.407,
60,Miami,ACC,#154734,#E04726,0.461,
61,Miami (OH),MAC,#C10230,#FFFFFF,0.753,
62,Michigan,Big Ten,#091F40,#F0C319,0.647,
63,Michigan State,Big Ten,#173E34,#FFFFFF,0.823,
64,Middle Tenn,CUSA,#0063A6,#C2C5C8,0.498,
65,Minnesota,Big Ten,#8A2432,#FCBB3D,0.429,
66,Mississippi St,SEC,#702E3E,#C2C5C8,0.499,
67,Missouri,SEC,#231F20,#EAAA21,0.550,
68,Missouri State,CUSA,#702E3E,#9EA1A2,0.360,
69,Navy,American,#091F40,#C6B783,0.570,
70,NC State,ACC,#CE202F,#231F20,0.389,
71,NDSU,MWC,#00583D,#FFC82E,0.632,
72,Nebraska,Big Ten,#CE0E2D,#FFFFFF,0.732,
73,Nevada,MWC,#091F40,#898D8E,0.421,
74,New Mexico,MWC,#C10230,#A7A8A9,0.469,
75,New Mexico St.,CUSA,#8B1D41,#231F20,0.247,
76,NIU,MWC,#C10230,#101010,0.408,
77,North Carolina,ACC,#7AADD3,#FFFFFF,0.368,
78,North Texas,American,#007D3F,#FFFFFF,0.780,
79,Northwestern,Big Ten,#482580,#FFFFFF,0.706,
80,Notre Dame,Independent,#0A2240,#CB9700,0.531,
81,Ohio,MAC,#124734,#FFFFFF,0.820,
82,Ohio State,Big Ten,#C10230,#A2A9AD,0.477,
83,Oklahoma,SEC,#A32036,#FFFFFF,0.711,
84,Oklahoma State,Big 12,#231F20,#F05523,0.480,
85,Old Dominion,Sun Belt,#0A3254,#93BFE6,0.554,
86,Ole Miss,SEC,#12284B,#CE202F,0.431,
87,Oregon,Big Ten,#007934,#FDE021,0.620,
88,Oregon State,Pac-12,#231F20,#DE4726,0.433,
89,Penn State,Big Ten,#091F40,#FFFFFF,0.869,
90,Pittsburgh,ACC,#1D4387,#FCB525,0.609,
91,Purdue,Big Ten,#231F20,#D0B787,0.571,
92,Rice,American,#192957,#C2C5C8,0.580,
93,Rutgers,Big Ten,#CE202F,#FFFFFF,0.699,
94,Sac State,MAC,#004D37,#C4B581,0.530,
95,Sam Houston,CUSA,#FF5100,#FFFFFF,0.699,
96,San Diego St.,Pac-12,#C43139,#231F20,0.371,
97,San Jose State,MWC,#19468D,#FCB525,0.619,
98,SMU,ACC,#19468D,#CE202F,0.470,
99,South Alabama,Sun Belt,#192957,#C41F3E,0.392,
100,South Carolina,SEC,#8A2433,#231F20,0.237,
101,Southern Miss,Sun Belt,#231F20,#FFC52F,0.625,
102,Stanford,ACC,#B30838,#FFFFFF,0.738,
103,Syracuse,ACC,#0A233F,#DE4726,0.490,
104,TCU,Big 12,#592C82,#FFFFFF,0.671,
105,Temple,American,#A32036,#FFFFFF,0.711,
106,Tennessee,SEC,#F58220,#FFFFFF,0.579,
107,Texas,SEC,#AF5C37,#FFFFFF,0.612,
108,Texas A&M,SEC,#6F1B3D,#FFFFFF,0.752,
109,Texas State,Pac-12,#572A31,#B4985A,0.339,
110,Texas Tech,Big 12,#C8102E,#231F20,0.376,
111,Toledo,MAC,#0A2240,#FFCD00,0.692,
112,Troy,Sun Belt,#8C2332,#B3B5B8,0.457,
113,Tulane,American,#006548,#3A8DDE,0.375,
114,Tulsa,American,#003595,#D0B787,0.556,
115,UAB,American,#1E6B52,#C0B460,0.404,
116,UCF,Big 12,#231F20,#B4A269,0.472,
117,UCLA,Big Ten,#0071B9,#FCB525,0.679,
118,UConn,Independent,#0A233F,#FFFFFF,0.863,
119,UL Monroe,Sun Belt,#8A1A32,#EBA900,0.407,
120,UMass,MAC,#8A2432,#FFFFFF,0.729,
121,UNLV,MWC,#CE0E2D,#BEBEBE,0.518,
122,USC,Big Ten,#9D2136,#FFCE07,0.463,
123,USF,American,#006847,#D5CA9F,0.567,
124,Utah,Big 12,#C12033,#FFFFFF,0.699,
125,Utah State,Pac-12,#002639,#A2A9AD,0.540,
126,UTEP,MWC,#011E41,#F38221,0.597,
127,UTSA,American,#0A2240,#E04403,0.510,
128,Vanderbilt,SEC,#2D2A26,#CFAF72,0.505,
129,Virginia,ACC,#12284C,#FF4713,0.556,
130,Virginia Tech,ACC,#6A2C3E,#CF4520,0.245,
131,W. Kentucky,CUSA,#D0202F,#B3B5B8,0.463,
132,W. Michigan,MAC,#511B00,#FFD500,0.577,
133,Wake Forest,ACC,#231F20,#D1BA93,0.588,
134,Washington,Big Ten,#36246A,#D0B787,0.486,
135,Washington St.,Pac-12,#A32036,#A2A9AD,0.411,
136,West Virginia,Big 12,#0F2D52,#EAAA21,0.582,
137,Wisconsin,Big Ten,#C10230,#FFFFFF,0.753,
138,Wyoming,MWC,#503629,#FFC629,0.513,
